"time","x [Mpns* Rpns**-2]"
0.25,2.35499325482827e-05
0.251,2.59920070183327e-05
0.252,2.85998648026282e-05
0.253,3.13375972566957e-05
0.254,3.42693372457124e-05
0.255,3.74611954056568e-05
0.256,4.12758497978854e-05
0.257,4.51243721935791e-05
0.258,4.99526118702871e-05
0.259,5.64948495013958e-05
0.26,6.2995983342172e-05
0.261,7.88767720353831e-05
0.262,0.000151664444165063
0.263,0.000334356991797232
0.264,0.00076070886110182
0.265,0.000441087318220753
0.266,0.000409029997081557
0.267,0.000329189946354255
0.268,0.000284856259319961
0.269,0.00027967011536857
0.27,0.000288505087240899
0.271,0.000282150099835298
0.272,0.000274521393914602
0.273,0.000265912537999101
0.274,0.000246209386201846
0.275,0.00024882266811258
0.276,0.000251409159535014
0.277,0.000243189380135148
0.278,0.000244947859122676
0.279,0.000235912496806439
0.28,0.000237356511413672
0.281,0.000238593921514527
0.282,0.000250533399950268
0.283,0.000241606862097532
0.284,0.000243055247048431
0.285,0.000244255025172407
0.286,0.000245354989775275
0.287,0.000246364838792551
0.288,0.000247272521367491
0.289,0.000259394986308111
0.29,0.000249560993858478
0.291,0.000261653123111919
0.292,0.000262685908606082
0.293,0.000263738653512512
0.294,0.000264639003452076
0.295,0.000265527130341425
0.296,0.000266519033205149
0.297,0.000267495017242665
0.298,0.000268446853575772
0.299,0.000269421138888105
0.3,0.000270389255991926
0.301,0.000271273899283579
0.302,0.000272215016980176
0.303,0.000273096123295228
0.304,0.000273987116990237
0.305,0.000287093761072652
0.306,0.000288065992311636
0.307,0.000288956022293315
0.308,0.000289926590370706
0.309,0.000290814269002506
0.31,0.000291686884588569
0.311,0.000292590053408534
0.312,0.000293405221525391
0.313,0.000294259862059283
0.314,0.000308349950381348
0.315,0.0003092459472261
0.316,0.000310156730789507
0.317,0.000310985017336349
0.318,0.0003117496243835
0.319,0.000312487844717438
0.32,0.000313320144417733
0.321,0.000314179875085672
0.322,0.000315048886320045
0.323,0.000315786279195671
0.324,0.000316507566266387
0.325,0.000331657559925698
0.326,0.000332527107505244
0.327,0.000333346934437783
0.328,0.000334160625957399
0.329,0.000334944182022382
0.33,0.000335772260893123
0.331,0.000336565561948751
0.332,0.000337413712166997
0.333,0.000338191910474635
0.334,0.000354313131154183
0.335,0.0003551463854877
0.336,0.00035598869521969
