"LHO" "LLO" "VIR" "KAG" "LAO"
274180.711938442 361067.704826277 7538.59587183087 3188.87228062613 237568.542962535
274.180711938442 361.067704826277 7.53859587183087 3.18887228062613 237.568542962535
137.090355969221 180.533852413138 3.76929793591544 1.59443614031307 118.784271481268
91.3935706461475 120.355901608759 2.51286529061029 1.06295742687538 79.1895143208451
68.5451779846106 90.2669262065692 1.88464896795772 0.797218070156533 59.3921357406338
54.8361423876885 72.2135409652553 1.50771917436617 0.637774456125227 47.5137085925071
45.6967853230737 60.1779508043795 1.25643264530515 0.531478713437689 39.5947571604226
39.1686731340632 51.5811006894681 1.07694226740441 0.45555318294659 33.9383632803622
34.2725889923053 45.1334631032846 0.942324483978859 0.398609035078267 29.6960678703169
30.4645235487158 40.1186338695863 0.837621763536763 0.354319142291793 26.396504773615
27.4180711938442 36.1067704826277 0.753859587183087 0.318887228062613 23.7568542962535
24.9255192671311 32.8243368023888 0.68532689743917 0.289897480056921 21.5971402693214
22.8483926615369 30.0889754021897 0.628216322652573 0.265739356718844 19.7973785802113
21.0908239952648 27.7744388327905 0.579891990140836 0.245297867740472 18.2745033048104
19.5843365670316 25.7905503447341 0.538471133702205 0.227776591473295 16.9691816401811
18.2787141292295 24.0711803217518 0.502573058122058 0.212591485375076 15.837902864169
17.1362944961527 22.5667315516423 0.471162241989429 0.199304517539133 14.8480339351585
16.1282771728496 21.2392767544869 0.443446815990051 0.187580722389773 13.9746201742668
15.2322617743579 20.0593169347932 0.418810881768382 0.177159571145896 13.1982523868075
14.4305637862338 19.0035634119093 0.396768203780572 0.167835383190849 12.503607524344
13.7090355969221 18.0533852413138 0.376929793591543 0.159443614031307 11.8784271481268
13.0562243780211 17.1937002298227 0.35898075580147 0.151851060982197 11.3127877601207
12.4627596335656 16.4121684011944 0.342663448719585 0.144948740028461 10.7985701346607
11.9209005190627 15.698595862012 0.32776503790569 0.138646620896788 10.3290670853276
11.4241963307684 15.0444877010949 0.314108161326286 0.132869678359422 9.89868929010564
10.9672284775377 14.4427081930511 0.301543834873235 0.127554891225045 9.50274171850141
10.5454119976324 13.8872194163953 0.289945995070418 0.122648933870236 9.1372516524052
10.1548411829053 13.3728779565288 0.279207254512254 0.118106380763931 8.79883492453835
9.7921682835158 12.895275172367 0.269235566851103 0.113888295736648 8.48459082009055
9.45450730822215 12.4506105112509 0.259951581787271 0.109961113125039 8.19201872284605
9.13935706461475 12.0355901608759 0.251286529061029 0.106295742687538 7.91895143208451
8.84453909478847 11.6473453169767 0.243180511994544 0.102866847762133 7.66350138588824
8.56814724807633 11.2833657758211 0.235581120994715 0.0996522587695667 7.42401696757923
8.30850642237704 10.9414456007963 0.22844229914639 0.0966324933523071 7.19904675644046
8.06413858642478 10.6196383772434 0.221723407995026 0.0937903611948863 6.98731008713339
7.83373462681264 10.3162201378936 0.215388453480882 0.0911106365893181 6.78767265607244
7.61613088717896 10.0296584673966 0.209405440884191 0.0885797855729481 6.59912619340376
7.4102895118498 9.7585866169264 0.203745834373807 0.0861857373142198 6.42077143141987
7.21528189311691 9.50178170595465 0.198384101890286 0.0839176915954246 6.25180376217198
7.03027466508827 9.25814627759684 0.193297330046945 0.0817659559134906 6.09150110160347
6.85451779846106 9.02669262065692 0.188464896795772 0.0797218070156533 5.93921357406338
6.68733443752299 8.80652938600675 0.183868191995875 0.0777773726981984 5.7943547064033
6.52811218901053 8.59685011491135 0.179490377900735 0.0759255304910984 5.65639388006036
6.37629562647541 8.39692336805295 0.175316183065834 0.0741598204796775 5.52484983633803
6.23137981678278 8.2060842005972 0.171331724359793 0.0724743700142303 5.39928506733035
6.09290470974317 8.02372677391726 0.167524352707353 0.0708638284583585 5.27930095472301
5.96045025953136 7.84929793100602 0.163882518952845 0.0693233104483942 5.16453354266381
5.83363216890303 7.68229159204844 0.160395656847465 0.0678483463963007 5.05464985026671
5.71209816538422 7.52224385054743 0.157054080663143 0.0664348391797111 4.94934464505282
5.5955247334376 7.36872866992401 0.153848895343487 0.0650790261352272 4.84833761148031
5.48361423876885 7.22135409652553 0.150771917436617 0.0637774456125227 4.75137085925071
5.37609239094985 7.07975891816229 0.147815605330017 0.0625269074632575 4.65820672475559
5.2727059988162 6.94360970819763 0.144972997535209 0.0613244669351179 4.5686258262026
5.17322097997061 6.81259820426937 0.142237657959073 0.0601674015212478 4.48242533891576
5.07742059145264 6.68643897826438 0.139603627256127 0.0590531903819654 4.39941746226917
4.98510385342623 6.56486736047776 0.137065379487834 0.0579794960113842 4.31942805386428
4.8960841417579 6.44763758618351 0.134617783425551 0.0569441478683238 4.24229541004527
4.8101879287446 6.3345211373031 0.132256067926857 0.055945127730283 4.16786917478132
4.72725365411108 6.22530525562546 0.129975790893636 0.0549805565625195 4.09600936142302
4.64713071082106 6.11979160722503 0.127772811386964 0.0540486827224768 4.02658547394128
4.56967853230737 6.01779508043795 0.125643264530514 0.0531478713437689 3.95947571604226
