"LHO" "LLO" "VIR" "KAG" "LAO"
186390.517993139 204270.271550132 82696.3597193909 43255.7887739263 188692.099118966
372.781035986278 408.540543100265 165.392719438782 86.5115775478527 377.384198237931
186.390517993139 204.270271550132 82.6963597193909 43.2557887739263 188.692099118966
124.260345328759 136.180181033422 55.1309064795939 28.8371925159509 125.794732745977
93.1952589965695 102.135135775066 41.3481798596954 21.6278943869632 94.3460495594829
74.5562071972556 81.7081086200529 33.0785438877563 17.3023155095705 75.4768396475863
62.1301726643797 68.0900905167108 27.565453239797 14.4185962579754 62.8973663729886
53.2544337123254 58.3629347286092 23.6275313483974 12.3587967925504 53.9120283197045
46.5976294982847 51.0675678875331 20.6740899298477 10.8139471934816 47.1730247797414
41.4201151095864 45.3933936778072 18.3769688265313 9.61239750531696 41.9315775819924
37.2781035986278 40.8540543100265 16.5392719438782 8.65115775478527 37.7384198237931
33.8891850896616 37.1400493727513 15.035701767162 7.86468886798661 34.3076543852665
31.0650863321898 34.0450452583554 13.7827266198985 7.20929812898772 31.4486831864943
28.6754643066368 31.4261956230973 12.7225168799063 6.65473673445021 29.0295537106101
26.6272168561627 29.1814673643046 11.8137656741987 6.17939839627519 26.9560141598522
24.8520690657519 27.2360362066843 11.0261812959188 5.76743850319018 25.1589465491954
23.2988147491424 25.5337839437665 10.3370449649239 5.40697359674079 23.5865123898707
21.9282962344869 24.0317966529567 9.72898349639893 5.08891632634428 22.1990704845842
20.7100575547932 22.6966968389036 9.18848441326565 4.80619875265848 20.9657887909962
19.6200545255936 21.5021338473824 8.7048799704622 4.55324092357119 19.862326223049
18.6390517993139 20.4270271550132 8.26963597193909 4.32557887739263 18.8692099118966
17.7514779041085 19.4543115762031 7.87584378279913 4.11959893085013 17.9706761065682
16.9445925448308 18.5700246863757 7.51785088358099 3.9323444339933 17.1538271926332
16.2078711298382 17.7626323087072 7.19098780168616 3.76137293686316 16.4080086190405
15.5325431660949 17.0225226291777 6.89136330994924 3.60464906449386 15.7243415932471
14.9112414394511 16.3416217240106 6.61570877755127 3.46046310191411 15.0953679295173
14.3377321533184 15.7130978115486 6.36125843995314 3.3273683672251 14.5147768553051
13.8067050365288 15.1311312259357 6.12565627551043 3.20413250177232 13.9771925273308
13.3136084280814 14.5907336821523 5.90688283709935 3.0896991981376 13.4780070799261
12.8545184822854 14.0876049344919 5.70319722202696 2.98315784647768 13.0132482151011
12.4260345328759 13.6180181033422 5.51309064795939 2.88371925159509 12.5794732745977
12.0251947092348 13.1787271967827 5.33524901415425 2.79069604993073 12.1736838141268
11.6494073745712 12.7668919718833 5.16852248246193 2.7034867983704 11.7932561949354
11.2963950298872 12.3800164575838 5.01190058905399 2.62156295599554 11.4358847950888
10.9641481172435 12.0158983264784 4.86449174819946 2.54445816317214 11.0995352422921
10.6508867424651 11.6725869457219 4.72550626967948 2.47175935851008 10.7824056639409
10.3550287773966 11.3483484194518 4.59424220663283 2.40309937632924 10.4828943954981
10.0751631347643 11.0416363000072 4.47007349834545 2.33815074453656 10.1995729253495
9.81002726279679 10.7510669236912 4.3524399852311 2.2766204617856 9.93116311152451
9.55848810221226 10.4753985410324 4.24083895996876 2.21824557815007 9.6765179035367
9.31952589965695 10.2135135775066 4.13481798596954 2.16278943869632 9.43460495594829
9.09222038990922 9.96440349025036 4.03396876679955 2.11003847677689 9.20449263994955
8.87573895205424 9.72715578810154 3.93792189139956 2.05979946542506 8.98533805328408
8.66932641828553 9.50094286279685 3.84634231252981 2.01189715227564 8.77637670320771
8.47229627241541 9.28501234318784 3.75892544179049 1.96617221699665 8.57691359631662
8.28402302191729 9.07867873556144 3.67539376530626 1.92247950106339 8.38631551639848
8.10393556491909 8.88131615435358 3.59549390084308 1.88068646843158 8.20400430952025
7.93151140396336 8.6923519808567 3.51899403061238 1.84067186272027 8.02945102633897
7.76627158304746 8.51126131458885 3.44568165497462 1.80232453224693 7.86217079662357
7.60777624461792 8.33756210408704 3.37536162119963 1.76554239893577 7.70171833138636
7.45562071972556 8.1708108620053 3.30785438877563 1.73023155095705 7.54768396475863
7.30943207816231 8.01059888431892 3.24299449879964 1.69630544211476 7.39969016152807
7.16886607665919 7.85654890577432 3.18062921997657 1.66368418361255 7.25738842765253
7.03360445257128 7.70831213396726 3.12061734790154 1.63229391599722 7.12045657052701
6.90335251826441 7.56556561296787 3.06282813775522 1.60206625088616 6.9885962636654
6.77783701793233 7.42800987455027 3.0071403534324 1.57293777359732 6.8615308770533
6.65680421404068 7.29536684107616 2.95344141854967 1.5448495990688 6.73900353996306
6.54001817519786 7.16737794912745 2.90162665682073 1.51774697452373 6.62077540768301
6.42725924114272 7.04380246724594 2.85159861101348 1.49157892323884 6.50662410755054
6.31832264383522 6.92441598475025 2.80326643116579 1.46629792453988 6.39634234301579
6.21301726643797 6.80900905167108 2.7565453239797 1.44185962579754 6.28973663729886
