"LHO" "LLO"
171825.13984093 226275.978478558
343.65027968186 452.551956957115
171.82513984093 226.275978478558
114.550093227287 150.850652319038
85.9125699204649 113.137989239279
68.7300559363719 90.510391391423
57.2750466136433 75.4253261595192
49.0928970974085 64.6502795653021
42.9562849602325 56.5689946196394
38.1833644090955 50.2835507730128
34.365027968186 45.2551956957115
31.2409345165327 41.1410869961014
28.6375233068216 37.7126630797596
26.4346368986046 34.8116889967012
24.5464485487043 32.3251397826511
22.9100186454573 30.1701304638077
21.4781424801162 28.2844973098197
20.214722334227 26.6207033504185
19.0916822045478 25.1417753865064
18.086856825361 23.8185240503745
17.182513984093 22.6275978478557
16.3642990324695 21.5500931884341
15.6204672582664 20.5705434980507
14.9413165079069 19.6761720416137
14.3187616534108 18.8563315398798
13.7460111872744 18.1020782782846
13.2173184493023 17.4058444983506
12.7277881363652 16.7611835910043
12.2732242743521 16.1625698913255
11.8500096442021 15.6052398950729
11.4550093227287 15.0850652319038
11.0854928929632 14.5984502244231
10.7390712400581 14.1422486549098
10.4136448388442 13.7136956653671
10.1073611671135 13.3103516752093
9.81857941948171 12.9300559130604
9.54584110227388 12.5708876932532
9.28784539680702 12.2311339718139
9.04342841268052 11.9092620251872
8.8115456328682 11.6038963322337
8.59125699204649 11.3137989239279
8.38171413858194 11.0378526087101
8.18214951623476 10.775046594217
7.99186696934558 10.5244641152817
7.81023362913318 10.2852717490253
7.6366728818191 10.0567101546026
7.47065825395347 9.83808602080685
7.31170807833744 9.62876504164075
7.15938082670541 9.4281657699399
7.0132710139155 9.23575422361459
6.87300559363719 9.0510391391423
6.73824077807568 8.87356778347284
6.60865922465115 8.70292224917529
6.48396754116716 8.53871616900217
6.36389406818259 8.38059179550213
6.24818690330654 8.22821739922027
6.13661213717607 8.08128494566277
6.02895227512035 7.93950801679149
5.92500482210103 7.80261994753647
5.82458101155694 7.67037215181551
5.72750466136433 7.54253261595192
