"LHO" "LLO"
174594.260008695 187583.915270773
349.18852001739 375.167830541547
174.594260008695 187.583915270773
116.39617333913 125.055943513849
87.2971300043474 93.7919576353867
69.837704003478 75.0335661083094
58.198086669565 62.5279717569245
49.8840742881985 53.5954043630781
43.6485650021737 46.8959788176934
38.7987244463766 41.6853145046163
34.918852001739 37.5167830541547
31.7444109106718 34.1061664128679
29.0990433347825 31.2639858784622
26.8606553859531 28.8590638878113
24.9420371440993 26.7977021815391
23.279234667826 25.0111887027698
21.8242825010869 23.4479894088467
20.5405011774935 22.0686959142086
19.3993622231883 20.8426572523082
18.37834315881 19.7456752916604
17.4594260008695 18.7583915270773
16.6280247627328 17.8651347876927
15.8722054553359 17.0530832064339
15.1821095659735 16.3116448061542
14.5495216673912 15.6319929392311
13.9675408006956 15.0067132216619
13.4303276929765 14.4295319439056
12.9329081487922 13.8951048348721
12.4710185720496 13.3988510907695
12.0409834488755 12.936821742812
11.639617333913 12.5055943513849
11.2641458070126 12.1021880819854
10.9121412505434 11.7239947044233
10.5814703035573 11.3687221376226
10.2702505887468 11.0343479571043
9.97681485763971 10.7190808726156
9.69968111159416 10.4213286261541
9.43752756803756 10.1396710957175
9.18917157940499 9.87283764583018
8.95355179531769 9.61968796260377
8.72971300043474 9.37919576353867
8.51679317115585 9.15043489125724
8.31401238136642 8.93256739384635
8.12066325621837 8.72483326840807
7.93610272766795 8.52654160321697
7.75974488927533 8.33706290092326
7.59105478298673 8.15582240307711
7.4295429790934 7.98229426684142
7.27476083369562 7.81599646961556
7.12629632688551 7.65648633758259
6.98377040034779 7.50335661083094
6.84683372583117 7.35623197140288
6.71516384648826 7.21476597195282
6.58846264183754 7.07863831210466
6.46645407439611 6.94755241743605
6.34888218213436 6.82123328257358
6.23550928602482 6.69942554538477
6.12611438627 6.58189176388679
6.02049172443775 6.46841087140598
5.91844949182016 6.35877678883978
5.8198086669565 6.25279717569245
