"LHO" "LLO"
186390.517993139 204270.271550132
372.781035986278 408.540543100265
186.390517993139 204.270271550132
124.260345328759 136.180181033422
93.1952589965695 102.135135775066
74.5562071972556 81.7081086200529
62.1301726643797 68.0900905167108
53.2544337123254 58.3629347286092
46.5976294982847 51.0675678875331
41.4201151095864 45.3933936778072
37.2781035986278 40.8540543100265
33.8891850896616 37.1400493727513
31.0650863321898 34.0450452583554
28.6754643066368 31.4261956230973
26.6272168561627 29.1814673643046
24.8520690657519 27.2360362066843
23.2988147491424 25.5337839437665
21.9282962344869 24.0317966529567
20.7100575547932 22.6966968389036
19.6200545255936 21.5021338473824
18.6390517993139 20.4270271550132
17.7514779041085 19.4543115762031
16.9445925448308 18.5700246863757
16.2078711298382 17.7626323087072
15.5325431660949 17.0225226291777
14.9112414394511 16.3416217240106
14.3377321533184 15.7130978115486
13.8067050365288 15.1311312259357
13.3136084280814 14.5907336821523
12.8545184822854 14.0876049344919
12.4260345328759 13.6180181033422
12.0251947092348 13.1787271967827
11.6494073745712 12.7668919718833
11.2963950298872 12.3800164575838
10.9641481172435 12.0158983264784
10.6508867424651 11.6725869457219
10.3550287773966 11.3483484194518
10.0751631347643 11.0416363000072
9.81002726279679 10.7510669236912
9.55848810221226 10.4753985410324
9.31952589965695 10.2135135775066
9.09222038990922 9.96440349025036
8.87573895205424 9.72715578810154
8.66932641828553 9.50094286279685
8.47229627241541 9.28501234318784
8.28402302191729 9.07867873556144
8.10393556491909 8.88131615435358
7.93151140396336 8.6923519808567
7.76627158304746 8.51126131458885
7.60777624461792 8.33756210408704
7.45562071972556 8.1708108620053
7.30943207816231 8.01059888431892
7.16886607665919 7.85654890577432
7.03360445257128 7.70831213396726
6.90335251826441 7.56556561296787
6.77783701793233 7.42800987455027
6.65680421404068 7.29536684107616
6.54001817519786 7.16737794912745
6.42725924114272 7.04380246724594
6.31832264383522 6.92441598475025
6.21301726643797 6.80900905167108
